arc;DoG;trial_set;pos;date;unmissable;pattern;locale;heading_rad
60;1;B1;1;20/05/2015;0;dog 60;Berlin;-2.95
60;1;B1;2;20/05/2015;0;dog 60;Berlin;0.28
60;1;B1;3;20/05/2015;0;dog 60;Berlin;0.43
60;1;B1;4;20/05/2015;0;dog 60;Berlin;0.06
60;1;B2;1;20/05/2015;0;dog 60;Berlin;-0.38
60;1;B2;2;20/05/2015;0;dog 60;Berlin;-1.86
60;1;B2;4;20/05/2015;0;dog 60;Berlin;0.44
60;1;B3;2;20/05/2015;0;dog 60;Berlin;0.19
55;1;B4;1;27/05/2015;0;dog 55;Berlin;2.57
55;1;B4;2;27/05/2015;0;dog 55;Berlin;0.25
55;1;B4;3;27/05/2015;0;dog 55;Berlin;0.6
55;1;B4;4;27/05/2015;0;dog 55;Berlin;-2.97
55;1;B5;1;27/05/2015;0;dog 55;Berlin;-1.1
55;1;B5;2;27/05/2015;0;dog 55;Berlin;0.01
55;1;B5;3;27/05/2015;0;dog 55;Berlin;-0.3
55;1;B5;4;27/05/2015;0;dog 55;Berlin;0.03
55;1;B6;2;27/05/2015;0;dog 55;Berlin;2.69
55;1;B6;3;27/05/2015;0;dog 55;Berlin;-1.38
55;1;B6;4;27/05/2015;0;dog 55;Berlin;1.94
55;1;B7;1;27/05/2015;0;dog 55;Berlin;2.92
55;1;B7;2;27/05/2015;0;dog 55;Berlin;-0.28
55;1;B7;3;27/05/2015;0;dog 55;Berlin;-0.08
55;1;B7;4;27/05/2015;0;dog 55;Berlin;0.23
55;1;B8;1;27/05/2015;0;dog 55;Berlin;-2.52
55;1;B8;2;27/05/2015;0;dog 55;Berlin;-2.93
55;1;B8;4;27/05/2015;0;dog 55;Berlin;0.02
50;0;B9;1;18/05/2015;0;bar 50;Berlin;1.7
50;0;B9;2;18/05/2015;0;bar 50;Berlin;-0.4
50;0;B9;3;18/05/2015;0;bar 50;Berlin;0.22
50;0;B9;4;18/05/2015;0;bar 50;Berlin;-0.31
50;0;B10;1;18/05/2015;0;bar 50;Berlin;-0.02
50;0;B10;2;18/05/2015;0;bar 50;Berlin;1.52
50;0;B10;3;18/05/2015;0;bar 50;Berlin;2.43
50;0;B10;4;18/05/2015;0;bar 50;Berlin;0.35
50;0;B11;1;18/05/2015;0;bar 50;Berlin;-2.33
50;0;B11;2;18/05/2015;0;bar 50;Berlin;0.52
50;0;B11;3;18/05/2015;0;bar 50;Berlin;0.58
50;0;B11;4;18/05/2015;0;bar 50;Berlin;-0.02
50;0;B12;1;18/05/2015;0;bar 50;Berlin;-0.07
50;0;B12;2;18/05/2015;0;bar 50;Berlin;2.12
50;0;B12;3;18/05/2015;0;bar 50;Berlin;-2.5
50;0;B12;4;18/05/2015;0;bar 50;Berlin;0.61
50;0;B13;1;18/05/2015;0;bar 50;Berlin;1.6
50;0;B13;2;18/05/2015;0;bar 50;Berlin;-2.88
50;0;B13;3;18/05/2015;0;bar 50;Berlin;-0.45
50;0;B13;4;18/05/2015;0;bar 50;Berlin;-0.22
50;1;B14;1;21/05/2015;0;dog 50;Berlin;2.67
50;1;B14;2;21/05/2015;0;dog 50;Berlin;1.08
50;1;B14;3;21/05/2015;0;dog 50;Berlin;0.92
50;1;B14;4;21/05/2015;0;dog 50;Berlin;1.67
50;1;B15;1;21/05/2015;0;dog 50;Berlin;-0.15
50;1;B15;2;21/05/2015;0;dog 50;Berlin;-2.06
50;1;B15;3;21/05/2015;0;dog 50;Berlin;2.82
50;1;B15;4;21/05/2015;0;dog 50;Berlin;2.93
50;1;B16;1;21/05/2015;0;dog 50;Berlin;-0.2
50;1;B16;2;21/05/2015;0;dog 50;Berlin;2.95
50;1;B16;3;21/05/2015;0;dog 50;Berlin;0.6
50;1;B16;4;21/05/2015;0;dog 50;Berlin;-0.18
50;1;B17;1;21/05/2015;0;dog 50;Berlin;0.21
50;1;B17;2;21/05/2015;0;dog 50;Berlin;-1.3
50;1;B17;3;21/05/2015;0;dog 50;Berlin;-1.12
50;1;B17;4;21/05/2015;0;dog 50;Berlin;-1.31
50;1;B18;1;21/05/2015;0;dog 50;Berlin;-0.28
50;1;B18;2;21/05/2015;0;dog 50;Berlin;-0.18
50;1;B18;3;21/05/2015;0;dog 50;Berlin;0.45
45;1;B19;1;20/05/2015;0;dog 45;Berlin;-1.47
45;1;B19;2;20/05/2015;0;dog 45;Berlin;-0.45
45;1;B19;3;20/05/2015;0;dog 45;Berlin;2.2
45;1;B19;4;20/05/2015;0;dog 45;Berlin;-2.34
45;1;B20;1;20/05/2015;0;dog 45;Berlin;-0.34
45;1;B20;2;20/05/2015;0;dog 45;Berlin;2.59
45;1;B20;3;20/05/2015;0;dog 45;Berlin;-2.69
45;1;B20;4;20/05/2015;0;dog 45;Berlin;2.83
45;1;B21;1;20/05/2015;0;dog 45;Berlin;-0.1
45;1;B21;2;20/05/2015;0;dog 45;Berlin;2.37
45;1;B21;3;20/05/2015;0;dog 45;Berlin;2.37
45;1;B21;4;20/05/2015;0;dog 45;Berlin;2.1
35;0;B22;1;19/05/2015;0;bar 35;Berlin;0.47
