number	set	theta	degrees	arc	dog	unmissable	pos	pattern
1	1	3.80	218	40	1	0	1	dog 40
2	1	3.18	182	40	1	0	2	dog 40
3	1	2.75	158	40	1	0	3	dog 40
4	1	0.46	27	40	1	0	4	dog 40
5	2	0.94	54	40	1	0	1	dog 40
6	2	0.22	13	40	1	0	2	dog 40
7	2	0.10	6	40	1	0	3	dog 40
8	2	3.03	174	40	1	0	4	dog 40
9	3	0.13	7	55	1	0	1	dog 55
10	3	6.06	347	55	1	0	2	dog 55
11	3	2.34	134	55	1	0	3	dog 55
12	3	3.32	190	55	1	0	4	dog 55
13	4	2.60	149	55	1	0	1	dog 55
14	4	3.47	199	55	1	0	2	dog 55
15	4	1.23	71	55	1	0	4	dog 55
16	4	0.79	45	55	1	0	3	dog 55
17	5	0.03	2	55	1	0	1	dog 55
18	5	4.32	248	55	1	0	2	dog 55
19	5	2.57	147	55	1	0	3	dog 55
20	5	5.60	321	55	1	0	4	dog 55
21	6	2.46	141	55	1	0	1	dog 55
22	6	3.50	201	55	1	0	2	dog 55
23	6	5.16	296	55	1	0	3	dog 55
24	6	2.08	119	55	1	0	4	dog 55
25	7	3.85	221	55	1	0	1	dog 55
26	7	2.85	163	55	1	0	2	dog 55
27	7	2.00	114	55	1	0	3	dog 55
28	7	4.65	267	55	1	0	4	dog 55
29	8	6.27	359	55	1	0	1	dog 55
30	8	5.59	320	55	1	0	2	dog 55
31	8	3.25	186	55	1	0	3	dog 55
32	8	6.03	345	55	1	0	4	dog 55
33	9	4.81	275	55	1	0	1	dog 55
34	9	6.09	349	55	1	0	2	dog 55
35	9	1.38	79	55	1	0	3	dog 55
36	9	2.43	139	55	1	0	4	dog 55
37	10	2.00	114	55	1	0	1	dog 55
38	10	0.00	0	55	1	0	2	dog 55
39	10	0.37	21	55	1	0	3	dog 55
40	10	0.16	9	55	1	0	4	dog 55
41	11	1.61	92	40	0	0	1	bar 40
42	11	3.26	187	40	0	0	2	bar 40
43	11	4.28	245	40	0	0	3	bar 40
44	11	3.19	183	40	0	0	4	bar 40
45	12	1.67	96	40	0	0	1	bar 40
46	12	0.15	9	40	0	0	2	bar 40
47	12	0.06	4	40	0	0	3	bar 40
48	12	0.84	48	40	0	0	4	bar 40
49	13	6.06	347	40	0	0	1	bar 40
50	13	0.59	34	40	0	0	2	bar 40
51	13	3.35	192	40	0	0	3	bar 40
52	13	2.41	138	40	0	0	4	bar 40
53	14	0.16	9	40	0	0	1	bar 40
54	14	4.73	271	40	0	0	2	bar 40
55	14	1.20	68	40	0	0	3	bar 40
56	14	4.47	256	40	0	0	4	bar 40
57	15	0.83	48	40	0	0	1	bar 40
58	15	3.14	180	40	0	0	2	bar 40
59	15	0.40	23	40	0	0	3	bar 40
60	15	3.20	183	40	0	0	4	bar 40
61	16	0.00	0	40	0	0	1	bar 40
62	16	5.65	324	40	0	0	2	bar 40
63	16	0.88	51	40	0	0	3	bar 40
64	16	0.26	15	40	0	0	4	bar 40
65	17	0.63	36	40	0	0	1	bar 40
66	17	0.10	6	40	0	0	2	bar 40
67	17	3.25	186	40	0	0	3	bar 40
68	17	0.28	16	40	0	0	4	bar 40
69	18	1.67	96	40	0	0	1	bar 40
70	18	0.00	0	40	0	0	2	bar 40
71	18	4.35	249	40	0	0	3	bar 40
72	18	3.83	220	40	0	0	4	bar 40
73	19	0.94	54	40	0	0	1	bar 40
74	19	1.40	80	40	0	0	2	bar 40
75	19	0.11	6	40	0	0	3	bar 40
76	19	0.16	9	40	0	0	4	bar 40
77	20	2.37	136	40	0	0	1	bar 40
78	20	0.37	21	40	0	0	2	bar 40
79	20	2.85	163	40	0	0	3	bar 40
80	20	1.17	67	40	0	0	4	bar 40
81	21	2.51	144	40	0	0	1	bar 40
82	21	6.20	355	40	0	0	2	bar 40
83	21	0.81	46	40	0	0	3	bar 40
84	21	5.03	288	40	0	0	4	bar 40
85	22	6.16	353	40	1	0	1	dog 40
86	22	0.06	3	40	1	0	2	dog 40
87	22	0.28	16	40	1	0	3	dog 40
88	22	5.87	336	40	1	0	4	dog 40
89	23	6.11	350	40	1	0	1	dog 40
90	23	5.95	341	40	1	0	2	dog 40
91	23	0.00	0	40	1	0	3	dog 40
92	23	5.76	330	40	1	0	4	dog 40
93	24	5.77	331	40	1	0	1	dog 40
94	24	3.09	177	40	1	0	2	dog 40
95	24	2.74	157	40	1	0	3	dog 40
96	24	6.14	352	40	1	0	4	dog 40
97	25	0.13	8	40	1	0	1	dog 40
98	25	0.73	42	40	1	0	2	dog 40
99	25	4.04	232	40	1	0	3	dog 40
100	25	3.05	175	40	1	0	4	dog 40
101	26	5.54	318	40	1	0	1	dog 40
102	26	4.12	236	40	1	0	2	dog 40
103	26	5.95	341	40	1	0	3	dog 40
104	26	6.26	359	40	1	0	4	dog 40
105	27	2.89	165	90	0	1	1	unmissable
106	27	0.56	32	90	0	1	2	unmissable
107	27	5.06	290	90	0	1	3	unmissable
108	27	5.30	304	90	0	1	4	unmissable
109	28	4.54	260	90	0	1	1	unmissable
110	28	5.04	289	90	0	1	2	unmissable
111	28	4.60	264	90	0	1	3	unmissable
112	28	6.06	347	90	0	1	4	unmissable
113	29	1.73	99	90	0	1	1	unmissable
114	29	1.24	71	90	0	1	2	unmissable
115	29	5.63	323	90	0	1	3	unmissable
116	29	3.58	205	90	0	1	4	unmissable
117	30	5.30	304	90	0	1	1	unmissable
118	30	5.88	337	90	0	1	2	unmissable
119	30	1.99	114	90	0	1	3	unmissable
120	30	1.99	114	90	0	1	4	unmissable
121	31	3.42	196	90	0	1	1	unmissable
122	31	3.95	226	90	0	1	2	unmissable
123	31	2.32	133	90	0	1	3	unmissable
124	31	4.90	281	90	0	1	4	unmissable
125	32	5.80	332	90	0	1	1	unmissable
126	32	5.62	322	90	0	1	2	unmissable
127	32	2.56	146	90	0	1	3	unmissable
128	32	1.22	70	90	0	1	4	unmissable
129	33	0.10	6	0	0	0	1	grey control
130	33	1.35	77	0	0	0	2	grey control
131	33	0.47	27	0	0	0	3	grey control
132	33	1.92	110	0	0	0	4	grey control
133	34	5.67	325	0	0	0	1	grey control
134	34	0.84	48	0	0	0	2	grey control
135	34	1.40	80	0	0	0	3	grey control
136	34	3.20	183	0	0	0	4	grey control
137	35	2.02	116	40	1	0	1	dog 40
138	35	0.73	42	40	1	0	2	dog 40
139	35	4.43	254	40	1	0	3	dog 40
140	35	0.91	52	40	1	0	4	dog 40
141	36	2.68	154	40	1	0	1	dog 40
142	36	1.24	71	40	1	0	2	dog 40
143	36	0.14	8	40	1	0	3	dog 40
144	36	5.25	301	40	1	0	4	dog 40
145	37	1.03	59	40	1	0	1	dog 40
146	37	5.80	332	40	1	0	2	dog 40
147	37	3.23	185	40	1	0	3	dog 40
148	37	4.76	273	40	1	0	4	dog 40
149	38	0.06	3	40	1	0	1	dog 40
150	38	5.00	286	40	1	0	2	dog 40
151	38	5.79	332	40	1	0	3	dog 40
152	38	4.55	261	40	1	0	4	dog 40
153	39	1.59	91	40	1	0	1	dog 40
154	39	2.08	119	40	1	0	2	dog 40
155	39	6.10	349	40	1	0	3	dog 40
156	39	6.05	347	40	1	0	4	dog 40
157	40	5.91	339	40	1	0	1	dog 40
158	40	4.96	284	40	1	0	2	dog 40
159	40	6.07	348	40	1	0	3	dog 40
160	40	1.95	112	40	1	0	4	dog 40
161	41	0.19	11	40	1	0	1	dog 40
162	41	4.91	282	40	1	0	2	dog 40
163	41	6.13	351	40	1	0	3	dog 40
164	41	0.51	29	40	1	0	4	dog 40
165	42	1.11	63	40	1	0	1	dog 40
166	42	2.14	123	40	1	0	2	dog 40
167	42	1.78	102	40	1	0	3	dog 40
168	42	5.94	341	40	1	0	4	dog 40
169	43	0.83	47	40	1	0	1	dog 40
170	43	3.01	172	40	1	0	2	dog 40
171	43	6.13	351	40	1	0	3	dog 40
172	43	5.83	334	40	1	0	4	dog 40
173	44	4.39	251	40	1	0	1	dog 40
174	44	5.88	337	40	1	0	2	dog 40
175	44	2.45	140	40	1	0	3	dog 40
